"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57"
"fp_diagnostics_Image.original_Mean_1",-0.019761856396645,-0.0107540128101224,0.0403922268599825,-0.0349290358072063,0.00496497253593317,0.0282603602327872,-0.0206458931046677,-0.0397573048927497,0.0311251747667574,0.084267022795007,-0.0346994449456978,0.0149712790116217,0.0785999501306212,0.0295131579340567,0.101846026469673,0.0331921604673219,0.063719512552279,-0.0546055013710454,-0.0504790728375408,-0.0521938886608967,0.0519072083729787,0.035574897779878,-0.178993983289562,0.107909917137313,0.116489435049278,0.0324253116480378,-0.0548992936651473,0.105452267803,-0.057763177435523,0.0323261264081543,0.0165663343494904,0.060133338907567,0.0284683955422178,-0.102346639342353,0.139749186392768,0.192809427039633,0.0691855484100538,0.000683179987375834,0.0321121582057847,0.0528822588147954,-0.00708500538826187,0.0176710784056033,-0.00691466866375652,0.00567222469802017,0.0469493447127858,0.163011623810655,-0.0100751745565646,0.0459859685865475,0.0857803220850253,0.0630645921883391,0.134004718250685,0.1431140852278,0.0995343290562384,-0.00104424738257025,-0.041154596294712,-0.183154260791524,-0.0826102932287899
"ktrans_diagnostics_Image.original_Mean_1",0.0342677516115664,-0.0188696869849761,0.0425330603128591,-0.0644869314069324,-0.0196933532682413,0.0359491943093663,0.0652077309155542,-0.00962552485849072,-0.0459907067201537,0.0846726536079835,-0.0397623336995097,-0.0432510840147187,0.0596952902905778,-0.00797934186897319,0.0350338978546191,0.0591589931336373,-0.0337892042570208,-0.0216432619061535,-0.0504201782536381,-0.0561263682608907,-0.00274601696506364,-0.00947797262660397,-0.04470183354546,0.00531215987689316,0.0982442916183854,0.0214589778372366,0.0340634030943029,-0.0486451968788554,-0.0709442508485786,-0.0513697041205711,-0.000281953755131181,0.0288255416651135,0.0388040260113313,0.0298813370313398,0.0456897566487494,-0.0588888466705622,-0.0347112119175962,-0.0261655184243971,0.0851693350247448,0.0458567661103753,0.0617519502465019,0.0119340380401498,0.0364406917274156,0.0368745205175485,0.0363230874406328,-0.00517678118210315,-0.0046264715493971,0.00710019039341436,0.0329164067743176,0.0807047107577902,-0.0855788450248495,-0.0824300924028022,-0.0394480218405492,-0.141125642444423,-0.0372372626347749,0.0541173597113681,-0.0821256392064645
"tau_diagnostics_Image.original_Mean_1",0.0117697007670166,-0.024155083993335,0.0170028468535387,-0.0449692419698814,-0.0622528524933559,0.0321723220663461,0.0412384719913207,-0.0468299695808088,-0.0315849685961178,0.0506103164357479,-0.0028445757974373,-0.102373965532732,0.100616819070901,-0.00825291774151081,0.103276521754946,0.00972654203914728,-0.021537129470315,-0.0731428946631611,-0.0531905030160519,-0.0974933049685543,-0.0192084439808181,-0.00120806513808522,-0.0636047978426339,0.116254278766867,0.0714144011350029,0.0454814552881893,0.00184292251099662,0.030677248291457,-0.05970258897998,0.0312573063411088,-0.0760957840535477,-0.0270029693105622,-0.0301201107309914,0.0202566119175791,0.134136798840562,-0.0354390991328331,-0.0133671781523347,0.0969971084210753,-0.0219336391406896,0.0388038711370039,0.144247054029328,-0.0714992982578998,0.0596287117244751,0.0438213984464721,-0.00199301768132854,0.00705983000249554,0.03926190245397,-0.0233015157764438,-0.0304544295368266,0.00262384263952071,-0.0294373749853496,-0.0231184025176076,-0.0475339223120707,-0.0255643691359315,-0.0106653137819838,0.0484404026480763,0.0114688966377765
"ve_diagnostics_Image.original_Mean_1",0.0285259212973661,-0.0131213378713047,0.0246675220676512,-0.0482255422095689,-0.0304013900883809,0.0651635203820716,0.0278913151564403,-0.00521087959350276,-0.0216469481223121,0.0953144856301846,0.034941719037278,-0.0719407229046519,-0.0199566418462433,0.02183719180794,0.119663286876286,-0.0330439119257438,0.0448497178349027,-0.0675954743218017,-0.0947065289724246,-0.0161137541014343,-0.0976862547635654,-2.54035732275405e-05,-0.0729119543846378,0.074524681330205,0.0972148417412882,-0.000675503009152752,0.0428106921572934,-0.00350937146055724,-0.0351645014925265,0.0631662617808677,-0.0461319952627405,-0.0106311008675044,0.00481208427895385,0.058563462038184,0.154618997173298,0.0211232876145899,0.0332532897273425,0.0108683683483545,-0.0050376658223897,0.019487464483713,0.0918725398835195,-0.039667665306625,0.0206811827657439,0.0071026474705126,0.0448104735826397,0.0770570285123073,-0.0180900785482111,-0.0364678803679208,-0.0507005406056667,0.0252379016480193,0.00446561883800326,-0.0452691414702391,0.0387398486022357,-0.0737209588861829,0.0636768477647068,-0.0176349590562978,-0.104075825496975
"vp_diagnostics_Image.original_Mean_1",0.040386458280802,-0.0272024232912081,0.0362306237875201,-0.053731247845131,-0.0185615956568583,0.0426062533208642,0.0602860226548809,-0.00336754953736597,-0.0425264571654509,0.0627116725602997,-0.0219889032233346,-0.082547373877567,0.0396406208359717,-0.0126069020808848,0.091183648745652,0.048020213268337,-0.0118870648781919,-0.0357091269129859,-0.0654822427676136,-0.0614253856546562,0.00922024211639175,-0.0170871163237494,-0.0411972813988291,0.0357764286157649,0.0892953850843834,0.0113701842705725,0.0221139120798232,-0.0734464896417739,-0.0456349288215128,-0.0352426148193988,-0.0210877637808753,0.0219773369854087,0.00685831094749134,0.0254249232067338,0.0633636828572844,-0.0659044929609139,0.00405669677442283,-0.0397601760436602,0.0397187249620454,0.0177169561699645,0.0732096613958884,0.0319453757237243,0.0368411394904931,0.0310691133511827,-0.0453229836825505,0.00064152034797365,-0.0484137321372143,-0.0688736186354628,0.0851197719147049,0.11413185348641,0.0509267833499956,0.024872823250336,0.121095466641829,-0.0340890291268539,-0.0114481700037964,-0.0665977886437211,0.169470379937663
"fp_diagnostics_Image.original_Mean_2",-0.020029957348123,-0.0115927218106463,0.0452724527247297,-0.0348502593433888,0.00196159573977161,0.0193492720795029,-0.0168847084777463,-0.0457377274604806,0.0271260571079805,0.0866294527650523,-0.0382384971016225,0.00791164794919329,0.0754341084710411,0.0195876126330827,0.115501890583863,0.0503358076107888,0.0324199181793431,-0.0180673244199416,-0.0818717315283487,-0.0519170552082005,0.0270897356970062,0.0197941278162261,-0.208820673782006,0.109636258654027,0.0874080524119564,0.0220057276004972,-0.0791971394750399,0.0718048747120528,-0.0277531781313968,0.0120637382802769,-0.000191362671631451,0.0412134579169323,-0.0266540763251427,-0.0585521887554247,0.118214458136765,0.126269502127858,0.048562159211721,0.0278628181543676,-0.00640890991292366,-0.0456745024907064,0.019396238249658,0.07177805401067,-0.122472350264772,0.0157388395951352,-0.00212673759210911,-0.0324352796925653,0.144047976042743,0.00989826841041544,0.172172228538766,0.0362736828350251,-0.011948171915673,0.255487005704417,0.0331032869828355,0.109876300045567,-0.0330108774178617,-0.119547146641457,-0.0442522801252065
"ktrans_diagnostics_Image.original_Mean_2",0.0305205732972601,-0.0179902430065603,0.0358375433890787,-0.0636546755655091,-0.0179924415641764,0.0386844040949013,0.0587466316054051,-0.0170678356451507,-0.032983598546108,0.113523077172431,-0.0189423527631079,0.0151498649258412,0.0331515047417657,-0.00742935052300489,0.0234087945662458,0.0852468243710644,-0.0542977874814396,-0.0199404431184062,-0.0502506349369131,-0.0540782259370624,0.00204110457052175,0.00607535721098573,-0.0579063046845608,-0.0157601108909064,0.122913899496369,0.0349526264125792,0.0420828475988187,-0.0366259670661067,-0.0834727668428011,-0.0425772652926378,-0.00292038231462014,0.0284121347072898,0.0520492868696743,0.0357211296854715,0.0231201251297752,-0.0518306160349093,-0.0998867366708732,-0.0193252706057114,0.0736614548422195,0.0491739290213339,0.0467660136352502,-0.00532957591726536,0.0490454940107291,-0.0169348588250446,0.0128232416997075,-0.048027053728001,-0.032823279073849,0.0572227008081993,0.0755998126238252,0.0486278156518752,-0.0985491231699564,-0.106370099821296,-0.0462228732823202,-0.149015450369426,0.0435750177521729,0.0926994927895748,0.0455093569597796
"tau_diagnostics_Image.original_Mean_2",0.00602373756159307,-0.022937116916875,0.00587997590488562,-0.0440482303062539,-0.0653279326263475,0.0378653752122297,0.0313864715039263,-0.0589154205606853,-0.0142428517960639,0.0871893023633169,0.0284829192890848,-0.0297576239161029,0.0722551617238363,-0.00416960000561114,0.0929433992316566,0.0430954237590322,-0.0501318502656666,-0.081672036113168,-0.0600564156619654,-0.0985355368773358,-0.0197953277082535,0.0246599888912564,-0.0928598933123905,0.0883853919860899,0.0981900038932019,0.0667352658626726,0.00564109733129376,0.0566878001863607,-0.0752319276166958,0.0547401195380763,-0.0911084080378168,-0.0172957983220037,-0.0136672104247435,0.0336237648004508,0.0980184255696233,-0.0196100513333865,-0.10996576435239,0.123422734844805,-0.0361346210686595,0.0417022330860379,0.0988180500533005,-0.0958719090571297,0.0749029718276247,-0.0273956668786924,-0.0476766730781191,-0.0600091364885945,0.015722171224905,0.0340971538447376,0.0387386900211031,-0.0348632731940217,-0.0990923863596871,-0.0210096837731154,-0.0997674815113123,0.0330455558138296,0.0795834517637876,0.095734808587019,-0.049990232846265
"ve_diagnostics_Image.original_Mean_2",0.0253842154828967,-0.0125650086769332,0.0195620553428493,-0.0463035970097294,-0.0302113494721008,0.0646079332050034,0.023031924838835,-0.0135104344176533,-0.0118844686277286,0.119345488351851,0.0534037716425415,-0.0280394409976601,-0.0473982461531072,0.0172311342411443,0.116990811729104,-0.0119982495964264,0.0194075273181574,-0.0550382885532533,-0.102914340828861,-0.00769592817086626,-0.0999615637157613,0.00545227891820346,-0.0869142302295412,0.0606162763165345,0.106353159409534,0.0058764938865043,0.0478444152616924,-0.00916929823483115,-0.0335640871260997,0.0643213085264748,-0.052615048252706,-0.0244711364336794,-0.00629074467917075,0.0880990268414438,0.135019374715699,-0.00916222509555265,-0.0198891690381198,0.014437950744051,-0.0458883448611106,-0.00855785451145522,0.0900533325955247,-0.0412784581105333,0.0223732115732884,-0.0152125684031297,-0.00442903681140102,-0.0240675835947634,0.0185309447283469,0.0624783593804677,0.00447292778304882,-0.00120978742554633,-0.0368672333008511,0.00641178501517742,-0.0355862809853786,0.0472669624038459,0.0894106894135631,0.0163676137818227,0.10067164336567
"vp_diagnostics_Image.original_Mean_2",0.0368919706228868,-0.0270151365769557,0.0266516442315572,-0.0536995923250492,-0.0169473914708497,0.0503925848953299,0.052097573747119,-0.0123133775228242,-0.0244419876565839,0.104421600259228,0.0098190249856423,-0.00126648473169551,0.00277481394371611,-0.00924448789983684,0.0801949160634849,0.0869388585542434,-0.0381769653968257,-0.0399731255979418,-0.0712446574544286,-0.063024417983662,0.0145971717464552,0.0061285890102249,-0.0642915353697287,0.000865320091743999,0.125136604941752,0.0308405082890943,0.0346468111957011,-0.0553413944791625,-0.0636416129546877,-0.0173464924067991,-0.0263111650714705,0.0331558426957215,0.0300685965904757,0.0343498209182329,0.0279839595743766,-0.0501384158172006,-0.0973459122629856,-0.0262033664148394,0.0304159802872418,0.0336758322488601,0.0338987584242561,0.0158363993458846,0.05864197900317,-0.0407168476649731,-0.0869481082507036,-0.0431960896839926,-0.0996386375437197,-0.00272425407277991,0.153231203128539,0.0853773257331432,0.00774402299007066,0.0183651803111323,0.0982321855074257,-0.00285487919431234,0.0880525228130491,-0.0346973797942983,-0.0107352794740693
